locality,Year,house_price
ABBOTSFORD,2019,1030000
ABERFELDIE,2019,1390000
AINTREE,2019,610000
AIREYS INLET,2019,985000
AIRPORT WEST,2019,790000
ALBANVALE,2019,512000
ALBERT PARK,2019,1965000
ALBION,2019,675000
ALEXANDRA,2019,325500
ALFREDTON,2019,480000
ALLANSFORD,2019,300000
ALPHINGTON,2019,1570000
ALTONA,2019,882500
ALTONA EAST,2019,842500
ALTONA MEADOWS,2019,617500
ALTONA NORTH,2019,788500
ANGLESEA,2019,905000
APOLLO BAY,2019,597500
ARARAT,2019,216500
ARDEER,2019,571500
ARMADALE,2019,2462500
ARMSTRONG CREEK,2019,540000
ASCOT (GREATER BENDIGO),2019,415500
ASCOT VALE,2019,1088500
ASHBURTON,2019,1651000
ASHWOOD,2019,1100000
ASPENDALE,2019,994000
ASPENDALE GARDENS,2019,844000
ATTWOOD,2019,767500
AVENEL,2019,370000
AVOCA,2019,219500
AVONDALE HEIGHTS,2019,810000
AVONSLEIGH,2019,532500
BACCHUS MARSH,2019,500000
BADGER CREEK,2019,498000
BAIRNSDALE,2019,274000
BALACLAVA,2019,1310000
BALCOMBE,2019,1109000
BALLAN,2019,450000
BALLARAT CENTRAL,2019,520000
BALLARAT EAST,2019,360000
BALLARAT NORTH,2019,413500
BALNARRING,2019,825000
BALNARRING BEACH,2019,1275000
BALWYN,2019,2392500
BALWYN NORTH,2019,1700000
BANNOCKBURN,2019,529000
BARANDUDA,2019,395000
BARNAWARTHA,2019,316000
BARWON HEADS,2019,1007500
BAXTER,2019,530000
BAYSWATER,2019,715000
BAYSWATER NORTH,2019,695000
BEACONSFIELD,2019,690000
BEACONSFIELD UPPER,2019,787500
BEAUFORT,2019,242500
BEAUMARIS,2019,1582500
BEEAC,2019,195000
BEECHWORTH,2019,472000
BELGRAVE,2019,636000
BELGRAVE HEIGHTS,2019,685000
BELGRAVE SOUTH,2019,665500
BELL PARK,2019,482000
BELL POST HILL,2019,475000
BELLBRIDGE,2019,368500
BELLFIELD (BANYULE),2019,770000
BELMONT,2019,545000
BENALLA,2019,290000
BENDIGO,2019,420000
BENTLEIGH,2019,1382500
BENTLEIGH EAST,2019,1200000
BERWICK,2019,673500
BEULAH,2019,77000
BEVERIDGE,2019,610000
BIRCHIP,2019,107500
BIRREGURRA,2019,463000
BITTERN,2019,577500
BLACK HILL,2019,495000
BLACK ROCK,2019,1777500
BLACKBURN,2019,1300000
BLACKBURN NORTH,2019,1010000
BLACKBURN SOUTH,2019,1038000
BLACKWOOD,2019,372500
BLAIRGOWRIE,2019,925000
BLIND BIGHT,2019,552500
BONBEACH,2019,850000
BONNIE DOON,2019,420000
BONSHAW,2019,389000
BOOLARRA,2019,245000
BOORT,2019,185000
BORONIA,2019,684500
BOTANIC RIDGE,2019,700000
BOX HILL,2019,1528000
BOX HILL NORTH,2019,1200000
BOX HILL SOUTH,2019,1154000
BRAYBROOK,2019,630000
BREAKWATER,2019,405000
BRIAGOLONG,2019,315000
BRIAR HILL,2019,817000
BRIGHT,2019,580000
BRIGHTON,2019,2600000
BRIGHTON EAST,2019,1700000
BROADFORD,2019,417500
BROADMEADOWS,2019,526000
BROOKFIELD,2019,445000
BROOKLYN,2019,672500
BROWN HILL,2019,449000
BRUNSWICK,2019,1030000
BRUNSWICK EAST,2019,995500
BRUNSWICK WEST,2019,1061000
BRUTHEN,2019,229000
BULLEEN,2019,1100000
BUNDALONG,2019,515000
BUNDOORA,2019,727500
BUNINYONG,2019,475000
BUNYIP,2019,501000
BURNLEY,2019,1188500
BURNSIDE,2019,605000
BURNSIDE HEIGHTS,2019,591000
BURWOOD,2019,1165000
BURWOOD EAST,2019,1020000
CAIRNLEA,2019,752500
CALIFORNIA GULLY,2019,289000
CAMBERWELL,2019,2100000
CAMPBELLFIELD,2019,534500
CAMPBELLS CREEK,2019,500000
CAMPERDOWN,2019,280000
CANADIAN,2019,377500
CANN RIVER,2019,125000
CANTERBURY,2019,2832500
CAPE PATERSON,2019,540000
CAPE SCHANCK,2019,940000
CAPEL SOUND,2019,515000
CARISBROOK,2019,300000
CARLTON,2019,1306000
CARLTON NORTH,2019,1555000
CARNEGIE,2019,1310000
CAROLINE SPRINGS,2019,620000
CARRUM,2019,770000
CARRUM DOWNS,2019,537500
CASTERTON,2019,150000
CASTLEMAINE,2019,520000
CAULFIELD,2019,1658000
CAULFIELD EAST,2019,1372500
CAULFIELD NORTH,2019,2100000
CAULFIELD SOUTH,2019,1488000
CHADSTONE,2019,1000000
CHARLEMONT,2019,465000
CHARLTON,2019,147000
CHELSEA,2019,857500
CHELSEA HEIGHTS,2019,750000
CHELTENHAM,2019,1035500
CHELTENHAM EAST,2019,940000
CHELTENHAM NORTH,2019,858000
CHEWTON,2019,439500
CHILTERN,2019,223500
CHIRNSIDE PARK,2019,685000
CHUM CREEK,2019,575000
CHURCHILL,2019,185000
CLARINDA,2019,815000
CLAYTON,2019,1100500
CLAYTON NORTH,2019,1405000
CLAYTON SOUTH,2019,832000
CLIFTON HILL,2019,1352500
CLIFTON SPRINGS,2019,485000
CLUNES,2019,330000
CLYDE,2019,549000
CLYDE NORTH,2019,584500
COBBLEBANK,2019,480500
COBDEN,2019,237000
COBRAM,2019,272500
COBURG,2019,931000
COBURG EAST,2019,823500
