,locality,Year,house price
0,ST KILDA WEST,2009,1360000.0
1,ELWOOD,2009,1120000.0
2,BRIGHTON,2009,1700000.0
3,MIDDLE PARK,2009,1300000.0
4,ALBERT PARK,2009,1050000.0
5,ST KILDA WEST,2010,1925000.0
6,ELWOOD,2010,1350000.0
7,BRIGHTON,2010,1810000.0
8,MIDDLE PARK,2010,1512500.0
9,ALBERT PARK,2010,1167500.0
10,ST KILDA WEST,2011,1700000.0
11,ELWOOD,2011,1150000.0
12,BRIGHTON,2011,1720000.0
13,MIDDLE PARK,2011,1345000.0
14,ALBERT PARK,2011,1390000.0
15,ST KILDA WEST,2012,1262500.0
16,ELWOOD,2012,1287500.0
17,BRIGHTON,2012,1789500.0
18,MIDDLE PARK,2012,1420500.0
19,ALBERT PARK,2012,1265000.0
20,ST KILDA WEST,2013,1142500.0
21,ELWOOD,2013,1346000.0
22,BRIGHTON,2013,1802500.0
23,MIDDLE PARK,2013,1587500.0
24,ALBERT PARK,2013,1360000.0
25,ST KILDA WEST,2014,2235000.0
26,ELWOOD,2014,1412500.0
27,BRIGHTON,2014,1940000.0
28,MIDDLE PARK,2014,2125000.0
29,ALBERT PARK,2014,1503000.0
30,ST KILDA WEST,2015,2013000.0
31,ELWOOD,2015,1631000.0
32,BRIGHTON,2015,2302500.0
33,MIDDLE PARK,2015,2317000.0
34,ALBERT PARK,2015,1700000.0
35,ST KILDA WEST,2016,1797000.0
36,ELWOOD,2016,1830000.0
37,BRIGHTON,2016,2740000.0
38,MIDDLE PARK,2016,2238500.0
39,ALBERT PARK,2016,1775000.0
40,ST KILDA WEST,2017,2380000.0
41,ELWOOD,2017,1900000.0
42,BRIGHTON,2017,3050000.0
43,MIDDLE PARK,2017,2370000.0
44,ALBERT PARK,2017,2150000.0
45,ST KILDA WEST,2018,1942500.0
46,ELWOOD,2018,2140000.0
47,BRIGHTON,2018,2879000.0
48,MIDDLE PARK,2018,2650000.0
49,ALBERT PARK,2018,2070000.0
50,ST KILDA WEST,2019,2078500.0
51,ELWOOD,2019,1952500.0
52,BRIGHTON,2019,2600000.0
53,MIDDLE PARK,2019,2705000.0
54,ALBERT PARK,2019,1965000.0
55,ST KILDA WEST,2020,
56,ELWOOD,2020,1750000.0
57,BRIGHTON,2020,2825000.0
58,MIDDLE PARK,2020,3555000.0
59,ALBERT PARK,2020,1110000.0
