,locality,Year,house price
0,ABBOTSFORD,2009,652000
1,ABERFELDIE,2009,786500
2,AINTREE,2009,-
3,AIREYS INLET,2009,515000
4,AIRPORT WEST,2009,456000
5,ALBANVALE,2009,280000
6,ALBERT PARK,2009,1050000
7,ALBION,2009,349000
8,ALEXANDRA,2009,220000
9,ALFREDTON,2009,300000
10,ALLANSFORD,2009,242500
11,ALPHINGTON,2009,836500
12,ALTONA,2009,499000
13,ALTONA EAST,2009,432500
14,ALTONA MEADOWS,2009,350000
15,ALTONA NORTH,2009,419000
16,ANGLESEA,2009,512500
17,APOLLO BAY,2009,430000
18,ARARAT,2009,159500
19,ARDEER,2009,311000
20,ARMADALE,2009,1605000
21,ARMSTRONG CREEK,2009,-
22,ASCOT (GREATER BENDIGO),2009,278000
23,ASCOT VALE,2009,625500
24,ASHBURTON,2009,790000
25,ASHWOOD,2009,640000
26,ASPENDALE,2009,547500
27,ASPENDALE GARDENS,2009,498500
28,ATTWOOD,2009,485000
29,AVENEL,2009,212500
30,AVOCA,2009,133000
31,AVONDALE HEIGHTS,2009,460000
32,AVONSLEIGH,2009,309000
33,BACCHUS MARSH,2009,279000
34,BADGER CREEK,2009,266500
35,BAIRNSDALE,2009,218000
36,BALACLAVA,2009,750000
37,BALCOMBE,2009,539000
38,BALLAN,2009,250000
39,BALLARAT CENTRAL,2009,251000
40,BALLARAT EAST,2009,205000
41,BALLARAT NORTH,2009,230000
42,BALNARRING,2009,388500
43,BALNARRING BEACH,2009,710000
44,BALWYN,2009,1279500
45,BALWYN NORTH,2009,981000
46,BANNOCKBURN,2009,305000
47,BARANDUDA,2009,312000
48,BARNAWARTHA,2009,191500
49,BARWON HEADS,2009,505000
50,BAXTER,2009,282500
51,BAYSWATER,2009,372000
52,BAYSWATER NORTH,2009,371500
53,BEACONSFIELD,2009,417500
54,BEACONSFIELD UPPER,2009,376500
55,BEAUFORT,2009,167500
56,BEAUMARIS,2009,918500
57,BEEAC,2009,148000
58,BEECHWORTH,2009,260000
59,BELGRAVE,2009,370000
60,BELGRAVE HEIGHTS,2009,363500
61,BELGRAVE SOUTH,2009,340000
62,BELL PARK,2009,257500
63,BELL POST HILL,2009,273500
