locality,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
TOORAK,2710000,2590000,2617500,2775000,2875000,3391000,3987500,4900000,5100000,4700000,4361000,4500000
EAST MELBOURNE,1680000,1621000,1737500,2480000,1790000,1850000,2750000,3655000,3585000,2675000,3413500,2350000
CANTERBURY,1680000,1827500,1730000,1790000,1950000,2100000,2523000,2620000,3140000,2536500,2832500,2250000
DEEPDENE,1790500,1930000,2046500,1875000,1981000,2215000,2750000,2600000,2862500,2692500,2758000,NA
MIDDLE PARK,1300000,1512500,1345000,1420500,1587500,2125000,2317000,2238500,2370000,2650000,2705000,3555000
BRIGHTON,1700000,1810000,1720000,1789500,1802500,1940000,2302500,2740000,3050000,2879000,2600000,2825000
MALVERN,1552000,1741500,1542500,1550000,1508500,1946000,2230000,2328500,2750000,2661000,2550000,2355000
ARMADALE,1605000,1800000,1615000,1500000,1675000,1750000,2172500,2367500,2300000,2341500,2462500,2325000
BALWYN,1279500,1450000,1363000,1295000,1530000,1782500,2210000,2180000,2335500,2420000,2392500,2321500
KEW,1390000,1650000,1650000,1500000,1751000,1950000,2080000,2200000,2320000,2337500,2255000,2200000
