,locality,Year,house price
0,TOORAK,2009,2710000.0
1,EAST MELBOURNE,2009,1680000.0
2,CANTERBURY,2009,1680000.0
3,DEEPDENE,2009,1790500.0
4,MIDDLE PARK,2009,1300000.0
5,BRIGHTON,2009,1700000.0
6,MALVERN,2009,1552000.0
7,ARMADALE,2009,1605000.0
8,BALWYN,2009,1279500.0
9,KEW,2009,1390000.0
10,TOORAK,2010,2590000.0
11,EAST MELBOURNE,2010,1621000.0
12,CANTERBURY,2010,1827500.0
13,DEEPDENE,2010,1930000.0
14,MIDDLE PARK,2010,1512500.0
15,BRIGHTON,2010,1810000.0
16,MALVERN,2010,1741500.0
17,ARMADALE,2010,1800000.0
18,BALWYN,2010,1450000.0
19,KEW,2010,1650000.0
20,TOORAK,2011,2617500.0
21,EAST MELBOURNE,2011,1737500.0
22,CANTERBURY,2011,1730000.0
23,DEEPDENE,2011,2046500.0
24,MIDDLE PARK,2011,1345000.0
25,BRIGHTON,2011,1720000.0
26,MALVERN,2011,1542500.0
27,ARMADALE,2011,1615000.0
28,BALWYN,2011,1363000.0
29,KEW,2011,1650000.0
30,TOORAK,2012,2775000.0
31,EAST MELBOURNE,2012,2480000.0
32,CANTERBURY,2012,1790000.0
33,DEEPDENE,2012,1875000.0
34,MIDDLE PARK,2012,1420500.0
35,BRIGHTON,2012,1789500.0
36,MALVERN,2012,1550000.0
37,ARMADALE,2012,1500000.0
38,BALWYN,2012,1295000.0
39,KEW,2012,1500000.0
40,TOORAK,2013,2875000.0
41,EAST MELBOURNE,2013,1790000.0
42,CANTERBURY,2013,1950000.0
43,DEEPDENE,2013,1981000.0
44,MIDDLE PARK,2013,1587500.0
45,BRIGHTON,2013,1802500.0
46,MALVERN,2013,1508500.0
47,ARMADALE,2013,1675000.0
48,BALWYN,2013,1530000.0
49,KEW,2013,1751000.0
50,TOORAK,2014,3391000.0
51,EAST MELBOURNE,2014,1850000.0
52,CANTERBURY,2014,2100000.0
53,DEEPDENE,2014,2215000.0
54,MIDDLE PARK,2014,2125000.0
55,BRIGHTON,2014,1940000.0
56,MALVERN,2014,1946000.0
57,ARMADALE,2014,1750000.0
58,BALWYN,2014,1782500.0
59,KEW,2014,1950000.0
60,TOORAK,2015,3987500.0
61,EAST MELBOURNE,2015,2750000.0
62,CANTERBURY,2015,2523000.0
63,DEEPDENE,2015,2750000.0
64,MIDDLE PARK,2015,2317000.0
65,BRIGHTON,2015,2302500.0
66,MALVERN,2015,2230000.0
67,ARMADALE,2015,2172500.0
68,BALWYN,2015,2210000.0
69,KEW,2015,2080000.0
70,TOORAK,2016,4900000.0
71,EAST MELBOURNE,2016,3655000.0
72,CANTERBURY,2016,2620000.0
73,DEEPDENE,2016,2600000.0
74,MIDDLE PARK,2016,2238500.0
75,BRIGHTON,2016,2740000.0
76,MALVERN,2016,2328500.0
77,ARMADALE,2016,2367500.0
78,BALWYN,2016,2180000.0
79,KEW,2016,2200000.0
80,TOORAK,2017,5100000.0
81,EAST MELBOURNE,2017,3585000.0
82,CANTERBURY,2017,3140000.0
83,DEEPDENE,2017,2862500.0
84,MIDDLE PARK,2017,2370000.0
85,BRIGHTON,2017,3050000.0
86,MALVERN,2017,2750000.0
87,ARMADALE,2017,2300000.0
88,BALWYN,2017,2335500.0
89,KEW,2017,2320000.0
90,TOORAK,2018,4700000.0
91,EAST MELBOURNE,2018,2675000.0
92,CANTERBURY,2018,2536500.0
93,DEEPDENE,2018,2692500.0
94,MIDDLE PARK,2018,2650000.0
95,BRIGHTON,2018,2879000.0
96,MALVERN,2018,2661000.0
97,ARMADALE,2018,2341500.0
98,BALWYN,2018,2420000.0
99,KEW,2018,2337500.0
100,TOORAK,2019,4361000.0
101,EAST MELBOURNE,2019,3413500.0
102,CANTERBURY,2019,2832500.0
103,DEEPDENE,2019,2758000.0
104,MIDDLE PARK,2019,2705000.0
105,BRIGHTON,2019,2600000.0
106,MALVERN,2019,2550000.0
107,ARMADALE,2019,2462500.0
108,BALWYN,2019,2392500.0
109,KEW,2019,2255000.0
110,TOORAK,2020,4500000.0
111,EAST MELBOURNE,2020,2350000.0
112,CANTERBURY,2020,2250000.0
113,DEEPDENE,2020,
114,MIDDLE PARK,2020,3555000.0
115,BRIGHTON,2020,2825000.0
116,MALVERN,2020,2355000.0
117,ARMADALE,2020,2325000.0
118,BALWYN,2020,2321500.0
119,KEW,2020,2200000.0
