locality,Year,house price
ABBOTSFORD,2009,652000.00 
ABERFELDIE,2009,786500.00 
AINTREE,2009,-
AIREYS INLET,2009,515000.00 
AIRPORT WEST,2009,456000.00 
ALBANVALE,2009,280000.00 
ALBERT PARK,2009,1050000.00 
ALBION,2009,349000.00 
ALEXANDRA,2009,220000.00 
ALFREDTON,2009,300000.00 
ALLANSFORD,2009,242500.00 
ALPHINGTON,2009,836500.00 
ALTONA,2009,499000.00 
ALTONA EAST,2009,432500.00 
ALTONA MEADOWS,2009,350000.00 
ALTONA NORTH,2009,419000.00 
ANGLESEA,2009,512500.00 
APOLLO BAY,2009,430000.00 
ARARAT,2009,159500.00 
ARDEER,2009,311000.00 
ARMADALE,2009,1605000.00 
ARMSTRONG CREEK,2009,-
ASCOT (GREATER BENDIGO),2009,278000.00 
ASCOT VALE,2009,625500.00 
ASHBURTON,2009,790000.00 
ASHWOOD,2009,640000.00 
ASPENDALE,2009,547500.00 
ASPENDALE GARDENS,2009,498500.00 
ATTWOOD,2009,485000.00 
AVENEL,2009,212500.00 
AVOCA,2009,133000.00 
AVONDALE HEIGHTS,2009,460000.00 
AVONSLEIGH,2009,309000.00 
BACCHUS MARSH,2009,279000.00 
BADGER CREEK,2009,266500.00 
BAIRNSDALE,2009,218000.00 
BALACLAVA,2009,750000.00 
BALCOMBE,2009,539000.00 
BALLAN,2009,250000.00 
BALLARAT CENTRAL,2009,251000.00 
BALLARAT EAST,2009,205000.00 
BALLARAT NORTH,2009,230000.00 
BALNARRING,2009,388500.00 
BALNARRING BEACH,2009,710000.00 
BALWYN,2009,1279500.00 
BALWYN NORTH,2009,981000.00 
BANNOCKBURN,2009,305000.00 
BARANDUDA,2009,312000.00 
BARNAWARTHA,2009,191500.00 
BARWON HEADS,2009,505000.00 
BAXTER,2009,282500.00 
BAYSWATER,2009,372000.00 
BAYSWATER NORTH,2009,371500.00 
BEACONSFIELD,2009,417500.00 
BEACONSFIELD UPPER,2009,376500.00 
